CODE,DESC,SHORTDESC,FINE
T052,PERMIT OPERATION OF AN UNSAFE VEHICLE,PMT OPER UNSAF VEHIC,50.0
T057,FAIL TO SLOW AT AN INTERSECTION,INTERSEC FAIL TO SLO,100.0
T058,FAIL TO KEEP IN LANE,FAIL TO KEEP IN LANE,100.0
T059,CHANGE LANES WITHOUT CAUTION,LANE CHANG W/O CAUT,100.0
T065,NO LIGHTS RUNNING ON VEHICLE,NO LIGHTS RUNNING,75.0
T066,HARASS SIGNAL OFFICER WHILE ON A BICYCLE,BIKE HARASS SIG OFF,25.0
T067,RIDE BIKE SO AS TO OBSTRUCT TRAFFIC,BIKE OBSTRUCT TRAFF,25.0
T068,RIDE BIKE/PMD SO AS TO CREATE A DRIVING HAZARD,PMD HAZARD DRIVING,25.0
T069,RIDE ABREAST ON A BIKE,BIKE RIDING ABREAST,25.0
T070,RIDE PMD AT EXCESSIVE SPEED,PMD EXCESSIVE SPEED,25.0
T071,BIKE/PMD FAIL TO YIELD RIGHT OF WAY TO PED OR VEH,PMD FAIL YIELD ROW,25.0
T072,DISOBEY TRAFFIC DEVICE OR OFFICER WHILE ON A BIKE,BIKE DISOBEY DEV/OFF,25.0
T080,FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT,PERMIT FAIL/EXHIBIT,50.0
T082,ONE WAY STREET VIOLATION,ONE WAY STREET,100.0
T083,OPEN DOOR TO APPROACHING TRAFFIC,OPEN DOOR TO TRAFFIC,25.0
T088,PASSING VEHICLE ON RIGHT,PASSING ON RIGHT,25.0
T095,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,PMT PMT UNLIC OPERAT,50.0
T096,PERMIT UNAUTHORIZED PERSON TO OPERATE VEHICLE,PMT UNAUTH DRIVER,100.0
T097,LICENSE/PERMIT DISPLAY OR USING ANOTHER PERSON'S,LIC/PMT DISP OTH PER,50.0
T098,PERMIT USE OF LICENSE BY ANOTHER PERSON,ALLW PMT USE BY OTHR,50.0
T101,OPERATE A VEHICLE IN VIOLATION OF A RESTRICTION,VIOL PERMIT REST,100.0
T105,DRIVE VEHICLE ON THE WHEEL RIM WITHOUT A TIRE,DRIVE ON RIM W/O TIR,25.0
T106,FAIL TO KEEP RIGHT,FAIL TO KEEP RIGHT,50.0
T107,FAIL TO YIELD RIGHT OF WAY,NO YIELD RIGHT WAY,100.0
T108,DRIVE THROUGH OR WITHIN A SAFETY ZONE,DRIVE THRU SAFETZONE,75.0
T109,OPERATE VEHICLE IN UNSAFE MECHANICAL CONDITION,UNSAFE MECHAN COND,100.0
T110,INTERFERE WITH A TRAFFIC SIGNAL DEVICE,INTERFER TRAFF SIGNL,100.0
T112,DISOBEY TRAFFIC CONTROL DEVICE,DISOB TRAFFIC DEVICE,100.0
T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,SIGNAL PASS REDLIGHT,150.0
T114,FAIL TO STOP PER REGULATIONS AT FLASHING RED LIGHT,PASS FLASH RED LIGHT,50.0
T115,FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,SIG NO HAND/MECHAN,100.0
T116,TURN RIGHT ON RED WHEN PROHIBITED,RIGHT TURN ON RED,50.0
T117,DISOBEYING OFFICIAL TRAFFIC CONTROL DEVICE,DISOB OFFICL DEVICE,100.0
T118,SPEED UP TO TEN MPH OVER THE SPEED LIMIT,SPEED 10MPH EXCESS,50.0
T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,SPEED 11-15 OVR LIMT,100.0
T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,SPEED 16-20 OVR LIMT,150.0
T121,SPEED 21-25 MPH OVER THE SPEED LIMIT,SPEED 21-25 OVR LIMT,200.0
T122,SPEED 26-30 MPH OVER THE SPEED LIMIT,SPEED 26-30 OVR LMT,300.0
T124,DRIVE TOO SLOWLY TO IMPEDE OR BLOCK TRAFFIC,DRIVING TOO SLOWLY,50.0
T125,DRIVE AT UNREASONABLE SPEED,SPEED UNREASONABLE,100.0
T126,PASS ON LEFT AND TURN RIGHT IN FRONT OF BUS,RT TURN AROUND BUS,100.0
T127,DRIVING ON THE WRONG SIDE OF THE STREET,DRIVING WRONG SIDE,50.0
T128,PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,STOP SIGN PASSING,50.0
T129,DRIVING A TRUCK THROUGH A RESTRICTED STREET,REST ST DRV TRK THRU,150.0
T130,DRIVING A BUS THROUGH A RESTRICTED STREET,REST ST DRV BUS THRU,150.0
T133,IMPROPER DEALER TAGS,IMPROPER DEALER TAGS,100.0
T134,FAILURE TO USE DOME LIGHTS,FAIL USE DOME LGHT,50.0
T135,BROKEN DOME LIGHTS,BROKEN DOME LIGHT,50.0
T138,FAIL TO COMPLETE OR MAINTAIN A MANIFEST,FAIL COMP/MANT MNFST,25.0
T139,FAIL TO PROVIDE A MANIFEST,FAIL PROVIDE MANIFST,100.0
T140,ALTERING A MANIFEST,ALTERING MANIFEST,100.0
T141,FAILURE TO COMPLY WITH NO SMOKING REGS IN PUB VEHI,NO SMOKING PUB VEH,250.0
T142,FAIL TO OBEY HACK INSPECTOR,FAIL OBEY HACK OFFIC,100.0
T144,FAIL TO NOTIFY PASSENGERS ABOUT SEATBELT REGS,FAIL BELT NOTIFICATN,100.0
T150,COVERED LICENSE PLATE,COVERED TAGS,500.0
T151,OPERATING VEHICLE WITH OPEN ALCOHOL CONTAINER,OPR OPN CONTAIN ALCH,100.0
T155,ALTERING A DRIVING PERMIT,PERMIT: ALTERING,25.0
T165,PERMIT OPERATION WITHOUT A VALID ID CARD,PERM OPER NO ID CARD,500.0
T167,OVERWEIGHT COMMERCIAL MOTOR VEHICLE,WEIGHT REGULAT VIOL,250.0
T168,MOTOR DRIVEN CYCLE SPEED > 30 MPH,MD CYCLE SPEED 30,100.0
T169,PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,PERMIT UNLICN DRIVER,50.0
T170,UNLICENSED PUBLIC VEHICLE,UNLIC PUBLIC VEHLE,50.0
T171,OPERATE VEHICLE WITHOUT VALID ID CARD,OPERATE NO ID CARD,500.0
T178,OBSTRUCTING TRAFFIC,TRAFFIC OBSTRUCTING,15.0
T181,IMPROPER TURN AT AN INTERSECTION,IMPROPER TURN/INTERS,25.0
T183,TURNING LEFT WHERE LEFT TURNS ARE PROHIBITED,TURN NO LEFT TURN,25.0
T184,MAKING A U TURN WHERE U TURNS ARE PROHIBITED,TURN NO U TURN,25.0
T185,MAKING A TURN FROM THE WRONG LANE,TURN FROM WRONG LANE,100.0
T189,OBSTRUCTED REAR FRONT OR SIDE VISION IN VEHICLE,VISION OBSTRUCT,75.0
T190,OBJECT HANGING IN VEHICLE SO AS TO OBSTRUCT VISION,VISION OBJ HANGING,75.0
T191,WINDSHIELD NOT IN OPERATING CONDITION,WINDSHIELD NOT OPER,25.0
T192,DEFECTIVE WINDSHIELD,WINDSHIELD DEFECTIVE,75.0
T193,OBSTRUCTED WINDSHIELD,WINDSHIELD OBSTRUCT,75.0
T194,OPERATING WITHOUT WINDSHIELD WIPERS,WINDSHIELD NO WIPERS,75.0
T200,PASSING A YELLOW TRAFFIC SIGNAL,SIGNAL PASS YELLOW,50.0
T201,FAIL TO YIELD TO AN EMERGENCY VEHICLE,FAIL YIELD EMER VEH,150.0
T202,RIGHT TURN ON RED VIOLATION NO TURN ON RED SIGN,NO RIGHT TURN ON RED,50.0
T203,PASS A FLASHING YELLOW TRAFFIC SIGNAL,SIGNAL FLASH YELLOW,50.0
T204,FAIL TO OBEY GREEN ARROW TRAFFIC SIGNAL,SIGNAL GREEN ARROW,50.0
T205,OBSTRUCTING CROSSWALK OR INTERSECTION,OBSTRUCT XWALK/INTER,35.0
T206,FAIL TO CLEAR INTERSECTION,INTERSECT FAIL CLEAR,50.0
T207,TELEVISION VISIBLE TO VEHICLE OPERATOR,TV VISIBLE OPERATOR,100.0
T208,DRIVE CMV W/O PROPER CLASS OR ENDORSEMENTS ON DL,IMPROP CLASS/ENDORSE,100.0
T210,FAIL TO YIELD TO ANOTHER VEHICLE,FAIL YIELD ROW VEH,25.0
T211,BOARD A VEHICLE WHILE IT IS IN MOTION,VEH BOARD IN MOTION,10.0
T212,COAST WITH GEARS UNMESHED,COAST GEAR UNMESHED,75.0
T214,FAIL TO YIELD WHEN EMERGING FROM AN ALLEY,YIELD EMERG DRIVWAY,50.0
T216,UNAUTHORIZED LIGHTS ON VEHICLE,UNAUTHORIZED LIGHTS,25.0
T217,DRIVE OVER MEDIAN,DRIVE OVER MEDIAN,100.0
T218,FAIL TO WEAR HELMET MOTORCYCLE/MOTOR DRIVEN CYCLE,FAIL TO WEAR HELMET,75.0
T219,PASS WITHOUT CAUTION,PASS W/OUT CAUTION,100.0
T220,PASS ON A HILL,PASSING ON HILL,25.0
T224,DRIVE OFF THE ROADWAY,DRIVING OFF ROADWAY,25.0
T225,FAIL TO STOP FOR APPROACHING SCHOOL BUS,APPROACH STOP SCHBUS,500.0
T226,FAILURE TO PROVIDE METER STATS TO GOVT AGENCY,FAIL PROV METER STAT,1000.0
T227,FAIL TO PROPERLY FASTEN TAGS TO VEHICLE,TAGS FAIL TO FASTEN,50.0
T228,PROVIDE SHARED RIDES IN TAXICAB ILLEGALLY,ILLEGAL SHARED RIDE,250.0
T229,UNAPPROVED ADVERTISEMENT IN OR ON VEH FOR HIRE,TAXI UNAPROV ADVERTS,100.0
T230,IMPROPERLY DRESSED OPERATOR IN VEHICLE FOR HIRE,TAXI IMP DRESS OPER,25.0
T231,FAILURE TO DISPLAY RATE STICKER SIGN,FAIL DISP RATE STCKR,150.0
T232,FAIL TO REMOVE TAXICAB INSIGNIA,TAXI N/REMOV INSIGNA,100.0
T234,OVERLOAD VEHICLE FOR HIRE,TAXI OVERLOADED VEHI,25.0
T235,FAIL TO PROVIDE PASSENGER WITH A RECEIPT FROM TAXI,TAXI N/PASS RECEIPT,150.0
T236,TAMPERING WITH METER OR SEALS,TAMPER METER OR SEAL,1000.0
T237,OPERATING WITHOUT A METER,OPERATING WO METER,1000.0
T238,OPERATING WITH A NON-FUNCTIONING METER,OPERAT NONFUNC METER,1000.0
T239,OPERATING A CAB WITH OFF-SIZE WHEELS OR TIRES,OFFSIZE WHEEL/TIRE,1000.0
T240,OPERATING A CAB WITH UNDER- OR OVER-INFLATED TIRES,UNDER/OVER INFL TIRE,100.0
T241,DEFECTIVE SPEDOMETER IN VEHICLE FOR HIRE,TAXI DFECT SPEEDOMTR,250.0
T242,NOT FOR HIRE TAXICAB ON TAXICAB STAND,TAXI ON STAND N/HIRE,25.0
T247,USE OF UNREGISTERED VEHICLE,USE OF UNREG VEHICLE,25.0
T249,ASKING FOR A DESTINATION,DEST ASKING IN VIOL,50.0
T250,DRIVING CMV (CDL) WHILE DISQUALIFIED - OOS,DRIVING CMV DISQUAL,500.0
T251,LOG VIOLATION (GENERAL / FORM AND MANNER) CMV,LOG VIOLATION,100.0
T252,VIOLATION OF 11 HOUR RULE (PROPERTY),VIO 11 HR RULE PROP,100.0
T253,VIOLATION OF 14 HOUR RULE (PROPERTY),VIO 14 HR RULE PROP,100.0
T254,10 HOUR RULE VIOLATION (PASSENGER),10 HR RULE VIO PASS,100.0
T255,VIOLATION OF 15 HOUR RULE (PASSENGER VEHICLE),VIO 15 HR RULE P VEH,100.0
T256,60/70 HOUR RULE VIOLATION (PASSENGER),60/70 HR RULE VIO,100.0
T257,NO DRIVER'S RECORD OF DUTY STATUS,NO DRIVER DUTY STAT,100.0
T258,FALSE REPORT OF DRIVER'S DUTY STATUS,FALSE RPT DUTY STAT,100.0
T259,DRIVER'S RECORD OF DUTY STATUS NOT CURRENT,DUTY STATUS NOT CURR,100.0
T260,DRIVER FAILS TO MAINTAIN PREVIOUS 7 DAYS LOGS,LOGS PRIOR 7 DAYS,100.0
T261,OPERATE A CMV WITHOUT A CDL,OPERATE CMV W/O CDL,100.0
T262,LEARNER'S PERMIT WITHOUT ACCOMPANYING CDL HOLDER,LEARNERS PMT NO CDL,100.0
T263,OPERATING A CMV WITH IMPROPER CDL GROUP,IMPROP CDL GROUP,100.0
T264,INTERSTATE DRIVER UNDER 21 YEARS OF AGE OOS,CDL INTERST UNDER 21,100.0
T265,OPER COMM VEH DRIVER NOT PHYSICALLY QUALIFIED OOS,DR NOT PHYS QUALIFID,100.0
T266,NOT LICENSED FOR TYPE OF VEHICLE BEING OPERATED,OPERATE VEH NOT LICS,100.0
T267,NO OR INVALID DRIVER'S LICENSE IN CMV,NO/INVALID DL CMV,100.0
T268,NO VALID MEDICAL WAIVER IN DRIVER'S POSSESSION,NO VALID MED WAIVER,100.0
T269,FAIL TO USE SEATBELT IN CMV,NO SEATBELT CMV,100.0
T270,OPERATING CMV WITH LAMPS/REFLECTORS OBSCURED,OPER CMV LAMP OBSCUR,100.0
T271,UNAUTHORIZED PERSON -PASSENGER VEHICLE,UNAUTH PASSENGER,100.0
T272,NON-ENGLISH SPEAKING DRIVER - CMV - OOS,NON-ENGLSH SP DRIVER,100.0
T273,NO MEDICAL CERTIFICATE IN DRIVER'S POSS - OOS,NO DRIV MED CERT PV,100.0
T274,IMPROPER MEDICAL EXAMINER'S CERTIFICATE FORM,IMPROP MED CERT,100.0
T275,EXPIRED MEDICAL CERTIFICATE,EXP MED CERTIFICATE,100.0
T276,SPEEDING IN CMV UP TO 10 MPH OVER SPEED LIMIT,CMV SPEED 10MPH OVER,100.0
T277,SPEEDING IN CMV 11-14 MPH OVER SPEED LIMIT,CMV SPEED 11-14 MPH,100.0
T278,SPEEDING IN CMV 15 MPH OVER SPEED LIMIT,CMV SPEED 15 MPH,100.0
T279,OVERHEIGHT COMMERCIAL MOTOR VEHICLE,OVERHEIGHT CMV,100.0
T280,OVERWIDTH COMMERCIAL MOTOR VEHICLE,OVERWIDTH CMV,100.0
T281,OVERLENGTH COMMERCIAL MOTOR VEHICLE,OVERLENGTH CMV,250.0
T282,FAIL TO OBEY TRAFFIC CONTROL DEVICE COMM VEHICLE,FAIL OBEY TRFIC DEVC,100.0
T283,DRIVER VIOL OOS ORDER FOR INTOXICATING BEVERAGES,OOS ORDER INTOX BEV,1000.0
T284,DRIVING AFTER BEING DECLARED OUT-OF-SERVICE,DRIVE AFTER OOS ORDR,1000.0
T285,NO COPY OF USDOT HM REGISTRATION NUMBER,NO COPY OF USDOT NUM,1000.0
T286,PROHIBITED PLACARDING,PROHIB PLACARDING,250.0
T287,VEHICLE NOT PLACARDED AS REQUIRED,VEH NOT PLACD AS REQ,250.0
T288,NO SHIPPING PAPER,NO SHIPPING PAPER,100.0
T289,MAINTENANCE/ACCESSIBILITY OF ER INFORMATION,MAINT/ACCESS ER INFO,100.0
T290,OPERATING AN OUT OF SERVICE VEHICLE,OPERATE OOS VEH,1000.0
T291,DESCRIPTION OF HM ON SHIPPING PAPER,HMDESC ON SHIP DOC,100.0
T292,BLOCKING/BRACING AND SECURING HM,SECURE HM,250.0
T293,NO EMERGENCY RESPONSE TELEPHONE NUMBER,NO EMERG RESP NUMBER,100.0
T295,NO HAZARDOUS WASTE MANIFEST,NO HM MANIFEST,100.0
T297,UNAPPROVED ADVERTISEMENT IN OR ON VEHICLE FOR HIRE,UNAPPRVD AD VEH HIRE,250.0
T299,FAIL TO HAVE INSURANCE TAXI/VEHICLE FOR HIRE,FAIL TO HVE INS,500.0
T300,PROHIBITED/PERMISSIVE PLACARDING,PROHIBITED PLACARD,100.0
T333,FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,FL TO DISP INSURANCE,30.0
T334,TURN RIGHT ON RED WITHOUT COMPLETE STOP,FAIL CMPL STOP RONRD,50.0
T335,FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,FAIL CONTROL SPEED,150.0
T336,GREATER VEHICLE WIDTH THAN PERMITTED,GRTR WIDTH THAN PERM,100.0
T337,UNLICENSED NON-DC LIMOUSINE OPERATOR,NONDC OP LIMO NO LIC,500.0
T338,OPERATE TAXICAB WITHOUT ID CARD,OPER CAB NO ID CARD,500.0
T339,OVERHEIGHT VEHICLE,OVERHEIGHT,250.0
T340,DRIVE TRUCK WITH RESTRICTED PERMIT,TRUCK PRMT RESTRICT,50.0
T341,UNAUTHORIZED ITEM ON WINDOW MIRROR OR FRAME,UNAUTH ITEM ON WINDO,15.0
T342,UNAUTHORIZED TRAFFIC CONTROL DEVICE,UNAUTH TRAF CNTL DEV,50.0
T343,UNSAFE BUMPER,UNSAFE BUMPER,75.0
T344,OVERWEIGHT UP TO 5000 POUNDS OVER LIMIT,UPTO 5000 LB OVR LMT,250.0
T345,VIOLATION OF TUNNEL RESTRICTIONS,VIOL TUNNEL RESTRICT,250.0
T346,UNLICENSED DC OPERATOR,DC OP NO LICENSE,1000.0
T347,UNLICENSED DC OPERATOR,UNLICENSED DC OPR,1000.0
T348,HITCHING A RIDE ON A VEHICLE,HITCHING ON VEHICLE,25.0
T349,IMPROPERLY RIDING ON VEHICLE,IMPROP RIDING ON VEH,100.0
T350,NO FENDER(S) OR BUMPER(S),NO FENDER(S),25.0
T351,UNLICENSED NON-DC OPERATOR,UNLICENSE NON DC RES,1000.0
T352,FAIL TO USE RUNNING LIGHT(S),FAIL USE RUNING LGHT,25.0
T362,CDL OUT-OF-SERVICE VIOLATION,CDL - OUT OF SERVICE,100.0
T363,CDL NOT-OUT-OF-SERVICE VIOLATION,CDL - NOT OUT SERVIC,100.0
T364,HAZMAT OUT-OF-SERVICE VIOLATION,HAZMAT OUT OF SERVIC,100.0
T365,HAZMAT NOT-OUT-OF-SERVICE VIOLATIONS,HAZMAT NOT OUT SERVC,100.0
T366,WORK ZONE VIOLATION - FINE DOUBLES,CNSTRTN ZN FN DBL,1000.0
T367,SCHOOL ZONE VIOLATION - FINE DOUBLES,SCHOOL ZONE FINE DBL,1000.0
T400,UNREGISTERED VEHICLE 30 DAYS OR LESS,UNREG VEH 30 DAYS,100.0
T404,UNREGISTERED VEHICLE MORE THAN 30 DAYS,UNREG. VEH > 30 DAYS,200.0
T405,FAIL TO COMPLY - PERSONAL ANIMAL,FAIL CMPLY PERS ANIM,50.0
T406,FAIL TO COMPLY SERVICE ANIMAL,FAIL CMPLY SERV ANIM,100.0
T501,DRIVE THROUGH A FUNERAL PROCESSION,DRIVE THRU FUNERAL P,25.0
T502,FAIL TO KEEP RIGHT IN A FUNERAL PROCESSION,FUNERAL N/KEEP RIGHT,15.0
T503,UNLICENSED LIMOUSINE OPERATOR,UNLICSD VEH LIMO,500.0
T504,LIMOUSINE OWNER PERMITTING UNLICENSED OPERATOR,OWNR PRMT UNLIC LIMO,500.0
T505,UNLICENSED LIMOUSINE OPERATOR,UNLICD LIMO DRIVER,500.0
T509,DRIVING OVER LAWN,DRIVING OVER LAWN,25.0
T511,ILLEGAL HEADLIGHT(S),ILLEGAL HEADLIGHT,75.0
T512,DEALER VEHICLE WITHOUT REGISTRATION,DEAL VEHIC W/O REGIS,50.0
T513,DRIVING INSTRUCTOR WITHOUT LICENSE,DRIVING INST W/O LIC,50.0
T514,OPERATE SCHOOL BUS WITHOUT PERMIT,OPER SCHBUS W/O PMT,20.0
T515,SMOKE SCREEN,SMOKE SCREENS,50.0
T516,TAMPER WITH LOCKED BICYCLE,TAMP W/LOCKED BICYCL,5.0
T517,UNAUTHORIZED USE OF EMERGENCY PARKING PERMIT,UNAUTH U/EMER PK PMT,50.0
T518,PERMIT OPERATION OF AN UNSAFE VEHICLE,PMT OPER UNSAF VEHIC,25.0
T519,OPERATING UNSAFE PUBLIC VEHICLE FOR HIRE,OPER UNSAFE VEH HIRE,100.0
T523,PASSING IN AN INTERSECTION,PASSING AT INTERSECT,25.0
T524,PASSING ON A CURVE,PASSING ON CURVE,25.0
T525,PASSING WITH AN OBSTRUCTED VIEW,PASSING VIEW OBSTRUC,25.0
T526,SPEEDING TO PREVENT A VEHICLE FROM PASSING,SPEED TO PREV PASSIN,50.0
T527,PEDESTRIAN WALK AGAINST A RED TRAFFIC SIGNAL,PED WALK AGNST RED,20.0
T528,PEDESTRIAN WALKING SO AS TO CREATE A HAZARD,PED CREATE HAZARD,5.0
T529,PEDESTRIAN FAIL TO YIELD TO EMERGENCY VEHICLE,PED N/YIELD TO EMERG,10.0
T530,FAIL TO HAVE MOTORCYCLE PERMIT,MOTORCYCLE NO PERMIT,50.0
T531,MOTORCYCLE PASSING IN TANDEM,MOTCYCL 2 PASS N/TAN,15.0
T533,FAIL TO GIVE SIGNAL,FAIL TO GIVE SIGNAL,25.0
T535,DISREGARD SLOW SIGN,DISREGARD SLOW SIGN,25.0
T539,VIOLATION OF RESTRICTION ON LEARNER'S PERMIT,VIOL REST LERNER PMT,100.0
T542,IMPROPER USE OF DEALER TAG(S),IMP USE DEALER TAGS,50.0
T555,VIOLATION OF TOWING REGULATIONS,VIOL TOWING REG,100.0
T556,TOWING WITHOUT SAFETY CHAIN,TOW REG N/SAFTY CHAN,100.0
T559,VIOLATION OF NO TURN SIGN,TURN VIOL TURN SIGN,25.0
T560,UNAPPROVED VEHICLE OPERATOR,UNAPPROV AUTO OPER,20.0
T561,PERMIT VEHICLE USE BY UNAUTHORIZED OPERATOR,PERMT OPER UNAPP AUT,20.0
T562,MOTORCYCLE/ MOTOR DRIVEN CYCLE IMPROPER RIDING ON,IMPROPER RIDING,100.0
T563,PERMIT PASSENGER TO RIDE ON VEHICLE,PERMT PASS RID ON VE,25.0
T564,OPERATE VEHICLE WITH DOORS OPEN,OPER W/DOORS OPEN,25.0
T567,PASSING APPROACHING FIRE APPARATUS,PASS/APPRCH FIRE APP,100.0
T571,IMPROPER TURN,IMPROPER TURN,100.0
T575,FAIL TO OBEY DON'T WALK OR WAIT TRAFFIC SIGNAL,DONT WALK/WAIT,20.0
T576,FAIL TO OBEY TRAFFIC SIGNAL IN CROSSWALK,TRF SIGNAL/CROSSWALK,10.0
T577,PEDESTRIAN LEAVING CURB IN UNSAFE MANNER,PED/LEAVE CURB UNSAF,10.0
T578,DIAGONAL CROSS AT INTERSECTION DISOBEYING SIGNAL,DIAG CROSS DISOB SIG,20.0
T579,CROSSING AN INTERSECTION DIAGONALLY,CROSS INTERSCT DIAG,10.0
T580,WALK IN ROADWAY WHERE SIDEWALK IS PROVIDED,WALKING IN (SIDEWK),10.0
T581,WALK ON WRONG SIDE OF STREET,WALK ON WRONG SIDE,10.0
T583,PARADING WITHOUT A PERMIT,PARADING W/O PERMIT,50.0
T585,COLLIDING WITH PEDESTRIAN,COLLIDE W/PED,500.0
T590,DISTRACTED DRIVING,DISTRACTED DRIVING,100.0
T591,DISTRACTED DRIVING USING CELL PHONE OTHER DEVICE,CELL PHNE OTH DEVICE,100.0
T592,DISTRACTED DRIVING WHILE OPERATING SCHOOL BUS,DIST DRVR SCHL BUS D,100.0
T600,FAIL TO OBEY OFFICER'S ORDERS,FAIL OBEY OFFICER,15.0
T601,FAIL TO ABIDE BY PARADE PERMIT RESTRICTIONS,PARADE PMT N/ABID RE,25.0
T602,DISPLAY FAKE INSPECTION STICKER,DISP FAKE INSP STICK,25.0
T603,REMOVE INSPECTION STICKER,REMOVE INSPECT STICK,10.0
T604,TAXICAB FAIL TO EXHIBIT ID CARD,TAXI N/EXHIB ID CARD,100.0
T605,UNLICENSED VEHICLE NON-DC RESIDENT,UNLIC VEH NON DC RES,1000.0
T607,BIKE/PMD FAIL YIELD ROW TO PED SIDEWALK/CROSSWALK,PMD FAIL YLD ROW PED,25.0
T609,RIDE BIKE/PMD SIDEWALK CENTRAL BUSINESS DISTRICT,RIDE PMD ON SIDEWLK,25.0
T610,RIDE TWO ON A BICYCLE,RIDE 2 ON BIKE,25.0
T613,BIKE GIVE FALSE INFORMATION,BIKE GIVE FALSE INFO,5.0
T614,BIKE IMPROPER EQUIPMENT,BIKE IMP EQUIPMENT,25.0
T615,BIKE MOUNTING RACK VIOLATION,BIKE MOUNT RAK VIOL,25.0
T616,IMPROPERLY SECURING BIKE,BIKE IMPROPER SECUR,25.0
T617,NOT RIDING ON THE SEAT OF A BIKE,BIKE N/RIDE ON SEAT,25.0
T618,PMD CARRY OBJECTS THAT HINDERS USE OF HANDLEBARS,PMD CARRY OBJ IN HAN,25.0
T619,BIKE VIOLATION SOUNDING WARNING DEVICE,BIKE SOUND WARN DEVC,25.0
T622,BIKE OR UNAUTHORIZED DEVICE ON THE HIGHWAY,BIKE UNAUTH DEV HWAY,5.0
T623,OPERATE PMD WITH EARS COVERED,OPER PMD W/EAR COVER,25.0
T624,COMMERCIAL VEHICLE SPILT LOAD,COMM VEH SPILL LOAD,150.0
T625,COMMERCIAL VEHICLE OPERATING WHILE IN PARK,COMM VEH OPER I/PARK,25.0
T626,EXCESSIVE IDLING,EXCESSIVE IDLING,500.0
T627,OPERATING WITH A TORN FENDER,OPER W/TORN FENDER,25.0
T629,INAUDIBLE OR NO HORN,HORN INAUD/NONE,15.0
T630,UNNECESSARY NOISE FROM HORN,HORN UNNECES NOISE,25.0
T632,EXPIRED INSPECTION STICKER,EXPIRED INSP STICK,50.0
T633,FAIL TO REPORT FOR INSPECTION,FAIL REPT TO INSPECT,50.0
T634,FAIL TO REPLACE INSPECTION STICKER,INSP FAIL REPL STKR,50.0
T635,LENGTH OVER 40'/55',LENGTH OVR 40'/55',250.0
T636,IMPROPER LIGHT(S),LIGHTS IMPROPER,75.0
T637,NO REAR LIGHTS,NO REAR LIGHTS,75.0
T638,NO STOP LIGHT(S),NO STOP LIGHTS,75.0
T639,ONE RUNNING LIGHT,ONE RUNNING LIGHT,75.0
T640,OPERATING HIGH BEAM LIGHTS,LIGHTS OPER W/HIGH B,75.0
T641,FAIL TO SECURE TRASH LOAD,LOADS N/SECUR TRASH,250.0
T642,FAIL TO SECURE SHIPPING CRATE LOAD,LOADS N/SEC SHIP CRA,25.0
T643,LOAD OVER FENDER(S),LOADS OVER FENDERS,250.0
T644,LOAD OVER 8 FEET WIDE,LOAD OVER 8' WIDE MV,250.0
T645,NO RED FLAG ON END OF LOAD,LOAD NO RED FLAG END,250.0
T646,NO REAR VIEW MIRROR ON MINIBIKE,MINIBIKE N/REAR VIEW,25.0
T647,NO REAR VIEW MIRROR(S),MIRRORS NO REAR VIEW,75.0
T649,LEAVING A MOTOR RUNNING UNATTENDED,MOTOR RUNNING UNATT,25.0
T651,DEFECTIVE MUFFLER,MUFFLER DEFECTIVE,15.0
T652,NO MUFFLER ON VEHICLE,MUFFLER NONE ON VEHI,25.0
T653,UNNECESSARY NOISE,UNNECESSARY NOISE,25.0
T654,VIOLATION OF ONE WAY STREET RESTRICTION,ONE WAY ST VIOL OF,100.0
T655,FAIL TO CHANGE ADDRESS ON PERMIT,PERMIT N/ADDRESS CHG,50.0
T656,CANCELLED SUSPENDED REVOKED OR ALTERED PERMIT,PERMIT ALTER/INVALID,50.0
T657,FAIL TO CHANGE ADDRESS ON REGISTRATION,REG FAIL CHG ADDRESS,10.0
T658,FAIL TO EXHIBIT REGISTRATION,REG FAIL TO EXHIBIT,50.0
T659,UNAUTHORIZED USE OF SIREN,SIREN UNAUTHRIZE USE,50.0
T660,EXCESSIVE SMOKE,SMOKE EXCESSIVE,50.0
T661,NO SNOW TIRE OR CHAIN,SNOW TIRE/CHAIN NONE,100.0
T662,DEFECTIVE SPEEDOMETER,SPEEDOMETER DEFECTIV,75.0
T663,NO SPEEDOMETER,SPEEDOMER NONE,75.0
T664,OPERATING STEAM SHOVEL DURING RESTRICTED HOURS,STEAM SHOVEL RES HRS,10.0
T665,FAIL TO APPLY DC TAG,NO DC APP TAG,500.0
T666,POORLY ILLUMINATED TAGS,TAGS POOR ILLUMIN,50.0
T667,DEAD OR EXPIRED TAGS,TAGS DEAD,100.0
T668,FAIL TO HAVE DC TAGS,TAGS NO DC,100.0
